Date,Open,High,Low,Close,Volume
11/02/2020,"3,061.74","3,079.71","2,950.12","3,004.48","7,257,350"
10/30/2020,"3,157.75","3,167.00","3,019.00","3,036.15","8,396,081"
10/29/2020,"3,201.27","3,257.25","3,164.00","3,211.01","6,596,529"
10/28/2020,"3,249.30","3,264.02","3,162.47","3,162.78","5,588,330"
10/27/2020,"3,224.94","3,291.66","3,211.30","3,286.33","4,291,047"
10/26/2020,"3,198.74","3,282.98","3,153.30","3,207.04","5,901,151"
10/23/2020,"3,191.00","3,205.33","3,140.00","3,204.40","3,466,687"
10/22/2020,"3,189.87","3,198.75","3,121.94","3,176.40","4,212,005"
10/21/2020,"3,212.50","3,233.88","3,160.00","3,184.94","4,592,736"
10/20/2020,"3,222.28","3,266.00","3,192.01","3,217.01","4,509,678"
10/19/2020,"3,299.61","3,329.00","3,192.74","3,207.21","5,223,626"
10/16/2020,"3,363.23","3,399.66","3,160.00","3,272.71","6,474,353"
10/15/2020,"3,292.01","3,355.88","3,280.00","3,338.65","5,223,448"
10/14/2020,"3,447.00","3,464.88","3,340.00","3,363.71","5,828,916"
10/13/2020,"3,467.99","3,492.38","3,424.22","3,443.63","5,744,697"
10/12/2020,"3,349.94","3,496.24","3,339.55","3,442.93","8,364,198"
10/09/2020,"3,210.00","3,288.99","3,197.83","3,286.65","4,907,871"
10/08/2020,"3,224.99","3,233.29","3,174.99","3,190.55","3,174,114"
10/07/2020,"3,135.00","3,200.00","3,132.39","3,195.69","4,309,439"
10/06/2020,"3,165.00","3,182.00","3,090.00","3,099.96","5,086,857"
10/05/2020,"3,145.84","3,202.53","3,140.85","3,199.20","3,775,332"
10/02/2020,"3,153.63","3,195.80","3,123.00","3,125.00","5,613,098"
10/01/2020,"3,208.00","3,224.00","3,172.00","3,221.26","4,971,922"
09/30/2020,"3,141.14","3,212.88","3,133.99","3,148.73","4,896,101"
09/29/2020,"3,175.39","3,188.26","3,132.54","3,144.88","3,503,398"
09/28/2020,"3,148.85","3,175.04","3,117.17","3,174.05","4,224,165"
09/25/2020,"3,054.86","3,101.54","2,999.00","3,095.13","4,615,202"
09/24/2020,"2,977.79","3,069.30","2,965.00","3,019.79","5,529,392"
09/23/2020,"3,120.43","3,127.00","2,992.38","2,999.86","5,652,665"
09/22/2020,"3,033.84","3,133.99","3,000.20","3,128.99","6,948,816"
09/21/2020,"2,906.50","2,962.00","2,871.00","2,960.47","6,117,925"
09/18/2020,"3,031.74","3,037.80","2,905.54","2,954.91","8,892,580"
09/17/2020,"3,009.25","3,029.43","2,972.55","3,008.73","6,449,050"
09/16/2020,"3,179.99","3,187.24","3,074.15","3,078.10","4,531,189"
09/15/2020,"3,136.16","3,175.02","3,108.92","3,156.13","4,021,535"
09/14/2020,"3,172.94","3,187.39","3,096.00","3,102.97","4,529,596"
09/11/2020,"3,208.69","3,217.34","3,083.98","3,116.22","5,093,982"
09/10/2020,"3,307.22","3,349.89","3,170.55","3,175.11","5,330,741"
09/09/2020,"3,202.99","3,303.18","3,185.00","3,268.61","5,188,675"
09/08/2020,"3,144.00","3,250.85","3,130.00","3,149.84","6,094,205"
09/04/2020,"3,318.00","3,381.50","3,111.13","3,294.62","8,781,754"
09/03/2020,"3,485.00","3,488.41","3,303.00","3,368.00","8,161,113"
09/02/2020,"3,547.00","3,552.25","3,486.69","3,531.45","3,931,476"
09/01/2020,"3,489.58","3,513.87","3,467.00","3,499.12","3,476,407"
08/31/2020,"3,408.99","3,495.00","3,405.00","3,450.96","4,185,885"
08/28/2020,"3,423.00","3,433.37","3,386.50","3,401.80","2,896,978"
08/27/2020,"3,450.05","3,453.00","3,378.00","3,400.00","4,264,795"
08/26/2020,"3,351.11","3,451.74","3,344.57","3,441.85","6,508,743"
08/25/2020,"3,294.99","3,357.40","3,267.00","3,346.49","3,992,842"
08/24/2020,"3,310.15","3,380.32","3,257.56","3,307.46","4,666,258"
08/21/2020,"3,295.00","3,314.40","3,275.39","3,284.72","3,575,862"
08/20/2020,"3,252.00","3,312.62","3,238.00","3,297.37","3,332,478"
08/19/2020,"3,303.01","3,315.90","3,256.00","3,260.48","4,185,137"
08/18/2020,"3,212.00","3,320.00","3,205.82","3,312.49","5,345,974"
08/17/2020,"3,173.12","3,194.97","3,154.18","3,182.41","2,691,237"
08/14/2020,"3,178.18","3,178.24","3,120.00","3,148.02","2,751,723"
